timestamp_start,timestamp_end,type,model,status,error,payload
2026-02-03T13:10:18.822047+00:00,2026-02-03T13:10:38.279518+00:00,generate_book_batch,gpt-4.1-mini,success,,"{""batch_size"": 2}"
2026-02-03T13:11:30.055609+00:00,2026-02-03T13:11:55.378254+00:00,generate_book_batch,gpt-4.1-mini,success,,"{""batch_size"": 5}"
2026-02-03T13:11:55.412102+00:00,2026-02-03T13:12:13.649099+00:00,generate_book_batch,gpt-4.1-mini,success,,"{""batch_size"": 3}"
2026-02-03T13:12:41.717175+00:00,2026-02-03T13:12:42.485555+00:00,generate_image,gpt-image-1.5,error,"Error code: 400 - {'error': {'message': ""Invalid value: '768x1152'. Supported values are: '1024x1024', '1024x1536', '1536x1024', and 'auto'."", 'type': 'invalid_request_error', 'param': 'size', 'code': 'invalid_value'}}","{""resolution"": ""768x1152""}"
2026-02-03T13:12:51.932009+00:00,2026-02-03T13:13:55.842811+00:00,generate_image,gpt-image-1.5,success,,"{""resolution"": ""1024x1536""}"
2026-02-03T13:38:45.808586+00:00,2026-02-03T13:39:09.065994+00:00,generate_book_batch,gpt-4.1-mini,success,,"{""batch_size"": 5}"
2026-02-03T13:39:09.067064+00:00,2026-02-03T13:39:36.416027+00:00,generate_book_batch,gpt-4.1-mini,success,,"{""batch_size"": 5}"
2026-02-03T14:11:48.500253+00:00,2026-02-03T14:12:03.131201+00:00,generate_book_batch,gpt-4.1-mini,success,,"{""batch_size"": 2}"
2026-02-03T14:12:42.813677+00:00,2026-02-03T14:12:43.546866+00:00,generate_image,gpt-image-1.5,error,"Error code: 400 - {'error': {'message': ""Invalid value: '768x1152'. Supported values are: '1024x1024', '1024x1536', '1536x1024', and 'auto'."", 'type': 'invalid_request_error', 'param': 'size', 'code': 'invalid_value'}}","{""resolution"": ""768x1152""}"
2026-02-03T14:12:56.305328+00:00,2026-02-03T14:13:59.183528+00:00,generate_image,gpt-image-1.5,success,,"{""resolution"": ""1024x1536""}"
2026-02-03T14:13:59.252921+00:00,2026-02-03T14:15:02.134498+00:00,generate_image,gpt-image-1.5,success,,"{""resolution"": ""1024x1536""}"
2026-02-03T14:16:28.699351+00:00,2026-02-03T14:17:43.850979+00:00,generate_image,gpt-image-1.5,success,,"{""resolution"": ""1024x1536""}"
